year; month;day;hour;minutes;lat;lon;depth;mb;mw
2010;9;20;0;30;32.0144;-115.1105;10;4;4.9
2010;12;11;12;52;32.1849;-115.3132;7.9;4.5;4.8
2011;2;18;17;47;32.0538;-115.0967;6.8;4.9;5.2
2011;4;17;0;45;38.411;-118.7329;0.9;4.4;4.8
2011;8;27;7;18;36.5517;-121.2362;12.1;4.2;4.8
2011;10;27;6;37;39.5816;-120.4718;16.5;4.6;4.9
2012;2;13;21;7;41.0977;-123.7101;32.8;5.3;5.6
2012;7;1;3;25;32.2172;-115.3448;3;4.6;4.8
2012;7;1;6;36;32.1972;-115.3102;6.2;4.6;4.8
2012;8;26;19;31;33.0466;-115.5352;2.3;4.7;5.4
2012;8;26;20;57;33.0337;-115.5541;2.4;4.7;5.5
2012;10;21;6;55;36.303;-120.8938;10.8;5.2;5.4
2013;2;13;0;10;38.0199;-117.9878;10;4.8;5.3
2013;5;24;3;47;40.1253;-121.1529;7.4;5.5;5.7
2013;5;29;14;38;34.4081;-119.7972;19.7;4.9;4.9
2014;1;12;20;24;38.7969;-122.8028;0.1;4.1;4.8
2014;3;29;4;9;33.8845;-117.9228;13.5;5.1;5.1
2014;8;24;10;20;38.1734;-122.2985;8.3;5.7;6.1
2014;11;5;7;23;41.8545;-119.6458;6.9;4.6;4.7
2014;11;13;6;36;41.9177;-119.6745;6.1;4.8;4.7
2015;1;22;9;9;41.9372;-119.6817;6.4;4.6;4.8
2015;2;14;2;28;37.1408;-117.2172;8.9;4.7;4.9
2015;5;22;18;47;37.3335;-114.6505;6;4.8;5
2015;9;14;13;55;41.8571;-119.5881;7.6;4.6;4.9
2016;2;16;23;4;37.2231;-118.3838;1.2;4.2;4.9
2016;2;24;0;2;35.5034;-119.3767;14.3;4.7;5
2016;6;10;8;4;33.4227;-116.4497;3;5.1;5.3
2016;7;21;23;9;40.6958;-123.8862;23.7;4.7;4.9
2016;8;10;2;57;39.2946;-122.77;16.8;5;5.1
2016;12;14;16;41;38.8117;-122.8207;10;4.7;5.1
2016;12;28;8;18;38.3562;-118.9154;5.5;5.1;5.7
2016;12;28;8;22;38.368;-118.8613;7.5;5.3;5.6
2016;12;28;9;13;38.3874;-118.924;5;5.2;5.7
2017;11;13;19;31;36.6202;-121.2719;10.4;4.6;4.7
