year;month;day;hour;minutes;seconds;lat;lon;depth;mb
2013;3;29;1;22;38.95;35.68780;121.08210;10.0;3.8
2013;5;15;20;0;6.47;33.65270;118.36630;7.3;3.8
2013;5;24;3;47;8.29;40.12530;121.15290;7.4;5.5
2013;5;24;8;2;19.22;40.17020;121.14890;2.5;4.7
2013;5;24;9;52;19.41;40.18240;121.06420;10.0;3.6
2013;5;29;14;38;3.89;34.40810;119.79720;19.7;4.9
2013;8;4;5;30;55.47;36.13510;118.05700;10.0;3.9
2013;8;12;7;32;34.49;35.96240;117.74300;3.6;4.0
2013;8;24;1;16;31.41;34.52490;120.86530;14.3;4.2
2013;8;25;18;50;28.21;35.48300;118.20790;0.6;3.7
2013;8;27;0;51;44.61;39.63930;119.69600;3.7;4.0
2013;12;13;7;49;55.35;35.75310;119.83600;4.6;4.1
2013;12;23;13;39;26.35;36.11610;118.06340;5.2;4.5
2014;1;12;20;24;46.63;38.79690;122.80280;0.1;4.1
2014;1;15;9;35;19.48;34.14330;117.44720;10.7;4.3
2014;2;6;19;42;20.06;35.49320;121.32610;0.2;4.3
2014;2;27;18;52;29.34;35.83450;121.52260;5.0;4.2
2014;3;13;2;11;4.9;36.10220;118.01620;10.0;4.4
2014;3;17;13;25;37.37;34.12380;118.47510;15.2;4.6
2014;3;29;4;9;43.97;33.88450;117.92280;13.5;5.1
2014;3;29;21;32;46.68;33.94210;117.89030;16.4;4.4
2014;7;5;16;59;33.72;34.28610;117.03260;14.8;4.4
2014;8;21;4;33;49.94;36.67350;121.02450;10.0;4.2
2014;8;24;10;20;46.33;38.17340;122.29850;8.3;5.7
2014;9;28;20;45;13.28;36.63520;120.76340;6.5;4.5
2014;11;5;7;23;5.25;41.85450;119.64580;6.9;4.6
2014;11;6;1;17;9.35;41.64840;119.67430;3.5;3.8
2014;11;6;8;34;47.82;41.83720;119.71650;10.0;4.4
2014;11;7;8;5;54.83;41.82190;119.64320;2.2;4.5
2014;11;10;8;42;43.12;32.86610;118.62280;12.6;3.7
2014;11;12;14;42;56.69;41.88760;119.71860;10.0;4.0
2014;11;13;6;36;7.99;41.91770;119.67450;6.1;4.8
